EXERCÍCIOS   	                 	   SERIE                                    REPETIÇÕES

Agachamento c/ barra                     3               					12	

Leg 45º				           3 						      12

Banco extensor (drop) 		           3						    8+10+12

Mesa flexora			           3						      12		

Banco adutor		                 3						      12

Banco flexor	   	    		     3						      15

Elevação pelvica		                 3						      15
 
Banco aldutor	                       3						    	15

Panturrilha livre                        3                                        15 A 20

Agachamento isometrico                   3                                          30°
